run_timestamp_utc,run_label,ranked_count,bna_winner_count,low_signal_bna_count,bna_explicit_marker_count,bna_ai_inferred_count,bna_manual_or_unknown_count,bna_repeated_from_previous_count,bna_max_consecutive_runs,bna_stuck_3plus_count,score_bands_json,scoring_sources_json,signal_distribution_json,bna_signal_distribution_json,bna_provenance_mix_json,bna_titles_json,authority_impact,mutations,mode
2026-05-29T11:05:32+00:00,execution_engine_v2,129,5,0,,,,,,,"{""high_11_25"": 4, ""low_1_3"": 82, ""medium_4_10"": 40, ""very_high_26_plus"": 3}","{""baseline_fallback"": 34, ""evaluator"": 95}","{""baseline_executable"": 34, ""high_priority"": 3, ""high_urgency"": 4, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 3, ""high_urgency"": 4, ""medium_effort"": 1, ""medium_urgency"": 1, ""quick_win"": 1, ""strategic_context"": 1}",,"[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Order a new band for my Apple Watch"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard""]",none,0,read_only_analytics_ledger
2026-05-29T11:14:14+00:00,execution_engine_v2,128,5,0,2,0,3,,,,"{""high_11_25"": 4, ""low_1_3"": 82, ""medium_4_10"": 40, ""very_high_26_plus"": 2}","{""baseline_fallback"": 34, ""evaluator"": 94}","{""baseline_executable"": 34, ""high_priority"": 2, ""high_urgency"": 3, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 2, ""high_urgency"": 3, ""medium_effort"": 1, ""medium_urgency"": 1, ""operational_context"": 1, ""planning_work"": 1, ""quick_win"": 1, ""strategic_context"": 2}","{""explicit_marker"": 2, ""manual_or_unknown"": 3}","[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard"", ""Plan another test bake of focaccia for Almanac recipe development""]",none,0,read_only_analytics_ledger
2026-05-29T11:15:20+00:00,execution_engine_v2,128,5,0,2,0,3,,,,"{""high_11_25"": 4, ""low_1_3"": 82, ""medium_4_10"": 40, ""very_high_26_plus"": 2}","{""baseline_fallback"": 34, ""evaluator"": 94}","{""baseline_executable"": 34, ""high_priority"": 2, ""high_urgency"": 3, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 2, ""high_urgency"": 3, ""medium_effort"": 1, ""medium_urgency"": 1, ""operational_context"": 1, ""planning_work"": 1, ""quick_win"": 1, ""strategic_context"": 2}","{""explicit_marker"": 2, ""manual_or_unknown"": 3}","[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard"", ""Plan another test bake of focaccia for Almanac recipe development""]",none,0,read_only_analytics_ledger
2026-05-29T11:25:41+00:00,execution_engine_v2,128,5,0,2,0,3,5,2,0,"{""high_11_25"": 4, ""low_1_3"": 82, ""medium_4_10"": 40, ""very_high_26_plus"": 2}","{""baseline_fallback"": 34, ""evaluator"": 94}","{""baseline_executable"": 34, ""high_priority"": 2, ""high_urgency"": 3, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 2, ""high_urgency"": 3, ""medium_effort"": 1, ""medium_urgency"": 1, ""operational_context"": 1, ""planning_work"": 1, ""quick_win"": 1, ""strategic_context"": 2}","{""explicit_marker"": 2, ""manual_or_unknown"": 3}","[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard"", ""Plan another test bake of focaccia for Almanac recipe development""]",none,0,read_only_analytics_ledger
2026-05-29T11:30:20+00:00,execution_engine_v2,128,5,0,2,0,3,5,3,5,"{""high_11_25"": 4, ""low_1_3"": 82, ""medium_4_10"": 40, ""very_high_26_plus"": 2}","{""baseline_fallback"": 34, ""evaluator"": 94}","{""baseline_executable"": 34, ""high_priority"": 2, ""high_urgency"": 3, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 2, ""high_urgency"": 3, ""medium_effort"": 1, ""medium_urgency"": 1, ""operational_context"": 1, ""planning_work"": 1, ""quick_win"": 1, ""strategic_context"": 2}","{""explicit_marker"": 2, ""manual_or_unknown"": 3}","[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard"", ""Plan another test bake of focaccia for Almanac recipe development""]",none,0,read_only_analytics_ledger
2026-05-29T11:45:24+00:00,execution_engine_v2,128,5,0,2,0,3,5,4,5,"{""high_11_25"": 4, ""low_1_3"": 82, ""medium_4_10"": 40, ""very_high_26_plus"": 2}","{""baseline_fallback"": 34, ""evaluator"": 94}","{""baseline_executable"": 34, ""high_priority"": 2, ""high_urgency"": 3, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 2, ""high_urgency"": 3, ""medium_effort"": 1, ""medium_urgency"": 1, ""operational_context"": 1, ""planning_work"": 1, ""quick_win"": 1, ""strategic_context"": 2}","{""explicit_marker"": 2, ""manual_or_unknown"": 3}","[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard"", ""Plan another test bake of focaccia for Almanac recipe development""]",none,0,read_only_analytics_ledger
2026-05-29T12:00:27+00:00,execution_engine_v2,128,5,0,2,0,3,5,5,5,"{""high_11_25"": 4, ""low_1_3"": 82, ""medium_4_10"": 40, ""very_high_26_plus"": 2}","{""baseline_fallback"": 34, ""evaluator"": 94}","{""baseline_executable"": 34, ""high_priority"": 2, ""high_urgency"": 3, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 2, ""high_urgency"": 3, ""medium_effort"": 1, ""medium_urgency"": 1, ""operational_context"": 1, ""planning_work"": 1, ""quick_win"": 1, ""strategic_context"": 2}","{""explicit_marker"": 2, ""manual_or_unknown"": 3}","[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard"", ""Plan another test bake of focaccia for Almanac recipe development""]",none,0,read_only_analytics_ledger
2026-05-29T12:15:20+00:00,execution_engine_v2,128,5,0,2,0,3,5,6,5,"{""high_11_25"": 4, ""low_1_3"": 82, ""medium_4_10"": 40, ""very_high_26_plus"": 2}","{""baseline_fallback"": 34, ""evaluator"": 94}","{""baseline_executable"": 34, ""high_priority"": 2, ""high_urgency"": 3, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 2, ""high_urgency"": 3, ""medium_effort"": 1, ""medium_urgency"": 1, ""operational_context"": 1, ""planning_work"": 1, ""quick_win"": 1, ""strategic_context"": 2}","{""explicit_marker"": 2, ""manual_or_unknown"": 3}","[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard"", ""Plan another test bake of focaccia for Almanac recipe development""]",none,0,read_only_analytics_ledger
2026-05-29T12:30:24+00:00,execution_engine_v2,128,5,0,2,0,3,5,7,5,"{""high_11_25"": 4, ""low_1_3"": 82, ""medium_4_10"": 40, ""very_high_26_plus"": 2}","{""baseline_fallback"": 34, ""evaluator"": 94}","{""baseline_executable"": 34, ""high_priority"": 2, ""high_urgency"": 3, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 2, ""high_urgency"": 3, ""medium_effort"": 1, ""medium_urgency"": 1, ""operational_context"": 1, ""planning_work"": 1, ""quick_win"": 1, ""strategic_context"": 2}","{""explicit_marker"": 2, ""manual_or_unknown"": 3}","[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard"", ""Plan another test bake of focaccia for Almanac recipe development""]",none,0,read_only_analytics_ledger
2026-05-29T12:47:08+00:00,execution_engine_v2,129,5,0,2,0,3,5,8,5,"{""high_11_25"": 4, ""low_1_3"": 83, ""medium_4_10"": 40, ""very_high_26_plus"": 2}","{""baseline_fallback"": 35, ""evaluator"": 94}","{""baseline_executable"": 35, ""high_priority"": 2, ""high_urgency"": 3, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 2, ""high_urgency"": 3, ""medium_effort"": 1, ""medium_urgency"": 1, ""operational_context"": 1, ""planning_work"": 1, ""quick_win"": 1, ""strategic_context"": 2}","{""explicit_marker"": 2, ""manual_or_unknown"": 3}","[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard"", ""Plan another test bake of focaccia for Almanac recipe development""]",none,0,read_only_analytics_ledger
2026-05-29T13:01:04+00:00,execution_engine_v2,130,5,0,2,0,3,5,9,5,"{""high_11_25"": 4, ""low_1_3"": 83, ""medium_4_10"": 41, ""very_high_26_plus"": 2}","{""baseline_fallback"": 35, ""evaluator"": 95}","{""baseline_executable"": 35, ""high_priority"": 2, ""high_urgency"": 3, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 23, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 45, ""strategic_context"": 19}","{""high_priority"": 2, ""high_urgency"": 3, ""medium_effort"": 1, ""medium_urgency"": 1, ""operational_context"": 1, ""planning_work"": 1, ""quick_win"": 1, ""strategic_context"": 2}","{""explicit_marker"": 2, ""manual_or_unknown"": 3}","[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard"", ""Plan another test bake of focaccia for Almanac recipe development""]",none,0,read_only_analytics_ledger
